Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of Tickets ,Uptime
Jun-23,51004,51004,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,G67 2XJ,Any,ChargePlace Scotland,62,1473.41,1,100.00%
Jun-23,60313,60313,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB42 2YD,Any,ChargePlace Scotland,62,1473.26,0,100.00%
Jun-23,51610,51610,"ChargePlace Scotland, East Lothian Council",East Lothian,EH42 1DX,Any,ChargePlace Scotland,49,1163.82,0,100.00%
Jun-23,APT51333,51333,NHS Western Isles,Na h-Eileanan an Iar,HS1 2BN,Any,ChargePlace Scotland,0,0,1,100.00%
Jun-23,60923,60923,"ChargePlace Scotland, East Renfrewshire Council",East Renfrewshire,G46 2JD,Any,ChargePlace Scotland,926,21981.1,7,73.90%
Jun-23,APT51603,51603,"ChargePlace Scotland, East Lothian Council",East Lothian,EH40 3DP,Any,ChargePlace Scotland,46,1091.56,0,100.00%
Jun-23,4757,52523,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",Inverclyde,PA19 1QR,Any,ChargePlace Scotland,143,3393.16,3,100.00%
Jun-23,61655,61655,"ChargePlace Scotland, West Dunbartonshire Council",West Dunbartonshire,G82 1SU,Any,ChargePlace Scotland,47,1115.1,0,100.00%
Jun-23,APT51350,51350,"ChargePlace Scotland, Troon Yacht Haven",South Ayrshire,KA10 6DJ,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,52298,52298,"ChargePlace Scotland, Highland Council",Highland,IV55 8WF,Any,ChargePlace Scotland,208,4934.75,4,86.40%
Jun-23,51699,51699,"ChargePlace Scotland, East Lothian Council",East Lothian,EH33 1EX,Any,ChargePlace Scotland,33,782.3,0,100.00%
Jun-23,50507,50507,"Ayrshire Roads Alliance, ChargePlace Scotland",East Ayrshire,KA3 5AP,Any,ChargePlace Scotland,215,5096.8,12,78.20%
Jun-23,EFA51101,51101,"ChargePlace Scotland, Pillars of Hercules",Fife,KY15 7AD,Any,ChargePlace Scotland,39,924.19,0,100.00%
Jun-23,T53-2915-005,51636,"ChargePlace Scotland, University of Strathclyde",Glasgow City,G68 0AF,Any,ChargePlace Scotland,279,6608.69,4,91.80%
Jun-23,60030,60030,"ChargePlace Scotland, Shetland Council",Shetland Islands,ZE1 0DW,Any,ChargePlace Scotland,94,2226.01,2,98.40%
Jun-23,4754,52519,"ScotRail, BP - ChargePlace Scotland",Falkirk,FK1 1QW,Any,ChargePlace Scotland,92,2178.46,3,100.00%
Jun-23,50461,50461,"ChargePlace Scotland, Fife Council",Fife,KY11 1NJ,Any,ChargePlace Scotland,38,899.66,0,100.00%
Jun-23,1701522489-B94060091,51368,JOA Leisure Ltd - Flipout,South Lanarkshire,G73 1UG,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,T54-HU1-2720-010,53518,"Argyll & Bute Council, ChargePlace Scotland",Argyll and Bute,PA78 6SY,Any,ChargePlace Scotland,5,118.37,0,100.00%
Jun-23,53771,53771,"Angus Council, ChargePlace Scotland",Angus,DD5 4NN,Any,ChargePlace Scotland,128,3026.77,0,96.10%
Jun-23,53509,53509,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS7 5LA,Any,ChargePlace Scotland,27,638.3,1,99.20%
Jun-23,51535,51535,"Ayrshire Roads Alliance, ChargePlace Scotland",South Ayrshire,KA7 1UT,Any,ChargePlace Scotland,539,12742.3,9,94.60%
Jun-23,60123,60123,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G13 1AX,Any,ChargePlace Scotland,43,1015.99,2,100.00%
Jun-23,53918,53918,"ChargePlace Scotland, NHS Forth Valley",Stirling,FK8 2AU,Any,ChargePlace Scotland,61,1441.08,0,100.00%
Jun-23,60044,60044,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8BS,Any,ChargePlace Scotland,80,1889.91,3,90.20%
Jun-23,53777,53777,"Ayrshire Roads Alliance, ChargePlace Scotland",South Ayrshire,KA9 2RN,Any,ChargePlace Scotland,160,3778.33,0,99.90%
Jun-23,52973,52973,"Ayrshire Roads Alliance, ChargePlace Scotland, East Ayrshire Council",South Ayrshire,KA8 8HE,Any,ChargePlace Scotland,377,8902.28,2,84.60%
Jun-23,50693,50693,"ChargePlace Scotland, Fife Council",Fife,KY15 4LB,Any,ChargePlace Scotland,64,1511.26,1,100.00%
Jun-23,51268,51268,"ChargePlace Scotland, James Watt Dock Marina",Inverclyde,PA15 2UT,Any,ChargePlace Scotland,21,495.48,0,100.00%
Jun-23,51406,51406,"ChargePlace Scotland, NHS Highlands (Public)",Highland,IV2 3FG,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,52037,52037,"Ayrshire Roads Alliance, ChargePlace Scotland, East Ayrshire Council",South Ayrshire,KA3 7BU,Any,ChargePlace Scotland,115,2713.32,0,100.00%
Jun-23,60335,60335,"ChargePlace Scotland, Moray Council",Moray,IV30 1LN,Any,ChargePlace Scotland,198,4667.91,2,93.80%
Jun-23,60009,60009,"ChargePlace Scotland, Dumfries and Galloway Council",Dumfries and Galloway,DG7 1BE,Any,ChargePlace Scotland,123,2898.48,3,91.70%
Jun-23,CMU1862,52933,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G64 3HD,Any,ChargePlace Scotland,213,5015.71,2,54.80%
Jun-23,APT51417,51417,"ChargePlace Scotland, KCA Deutag",Aberdeenshire,AB12 4XX,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,60684,60684,"ChargePlace Scotland, Stirling Council",Stirling,FK7 8HA,Any,ChargePlace Scotland,131,3083.65,0,89.90%
Jun-23,52369,52369,"ChargePlace Scotland, Clydebank Housing Association",West Dunbartonshire,G81 1QJ,Any,ChargePlace Scotland,105,2471.6,0,100.00%
Jun-23,54299,54299,"ChargePlace Scotland, South Lanarkshire Council",South Lanarkshire,G72 7EA,Any,ChargePlace Scotland,132,3106.52,4,82.60%
Jun-23,50687,50687,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G40 3JD,Any,ChargePlace Scotland,72,1694.25,0,100.00%
Jun-23,53364,53364,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH1 4LT,Any,ChargePlace Scotland,25,588.05,0,100.00%
Jun-23,50951,50951,"ChargePlace Scotland, ScotRail",Scottish Borders,TD1 2SQ,Any,ChargePlace Scotland,76,1786.34,0,100.00%
Jun-23,53589,53589,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML5 1RX,Any,ChargePlace Scotland,176,4136.44,1,95.50%
Jun-23,53643,,"ChargePlace Scotland, Scottish Government",,PA34 4AE,Any,ChargePlace Scotland,7,164.41,0,100.00%
Jun-23,51750,51750,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB10 1ZU,Any,ChargePlace Scotland,261,6129.93,3,89.00%
Jun-23,51853,51853,"ChargePlace Scotland, Clydebank Housing Association",West Dunbartonshire,G81 1BL,Any,ChargePlace Scotland,100,2348.49,2,91.00%
Jun-23,52029,52029,"Ayrshire Roads Alliance, ChargePlace Scotland, East Ayrshire Council",South Ayrshire,KA7 4BN,Any,ChargePlace Scotland,231,5418.07,2,100.00%
Jun-23,53447,53447,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA29 0AL,Any,ChargePlace Scotland,113,2649.92,0,97.20%
Jun-23,53595,53595,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML6 9EY,Any,ChargePlace Scotland,44,1031.38,2,98.90%
Jun-23,52036,52036,"Ayrshire Roads Alliance, ChargePlace Scotland, East Ayrshire Council",East Ayrshire,KA3 7BU,Any,ChargePlace Scotland,83,1945.12,2,70.80%
Jun-23,T54-HU1-2720-012,53517,"Argyll & Bute Council, ChargePlace Scotland",Argyll and Bute,PA77 6TN,Any,ChargePlace Scotland,18,421.68,0,100.00%
Jun-23,52063,52063,"ChargePlace Scotland, Falkirk Council",Falkirk,FK6 6FA,Any,ChargePlace Scotland,177,4146.51,0,95.20%
Jun-23,50643,50643,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G42 0DP,Any,ChargePlace Scotland,41,960.1,0,100.00%
Jun-23,61699,61699,"ChargePlace Scotland, NHS Forth Valley",Falkirk,,Any,ChargePlace Scotland,48,1122.49,2,100.00%
Jun-23,APT51445,51445,"Am Birlinn, ChargePlace Scotland",Argyll and Bute,PA75 6QS,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,51446,51446,"ChargePlace Scotland, Lothian Buses",City of Edinburgh,,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,M5005914-5,61247,"ChargePlace Scotland, Dumfries and Galloway Council",Dumfries and Galloway,DG7 2HP,Any,ChargePlace Scotland,5,116.9,1,100.00%
Jun-23,60048,60048,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8BS,Any,ChargePlace Scotland,33,770.08,0,98.90%
Jun-23,52339,52339,"ChargePlace Scotland, South Lanarkshire Council",South Lanarkshire,ML12 6DT,Any,ChargePlace Scotland,86,2006.85,1,99.60%
Jun-23,APT50844,50844,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 7BL,Any,ChargePlace Scotland,37,863.33,0,100.00%
Jun-23,50059,50059,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH1 1LT,Any,ChargePlace Scotland,41,956.04,0,99.90%
Jun-23,50277,50277,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8AW,Any,ChargePlace Scotland,4,93.26,2,100.00%
Jun-23,APT51460,51460,"Beam Suntory, ChargePlace Scotland",West Dunbartonshire,G81 4SJ,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,51467,51467,"Ayrshire Roads Alliance, ChargePlace Scotland",South Ayrshire,KA8 0BJ,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,52042,52042,"Ayrshire Roads Alliance, ChargePlace Scotland, East Ayrshire Council",East Ayrshire,KA5 5BE,Any,ChargePlace Scotland,466,10859.1,7,90.50%
Jun-23,51265,51265,"ANM Group, ChargePlace Scotland",Aberdeenshire,AB51 5XZ,Any,ChargePlace Scotland,26,605.38,1,98.60%
Jun-23,60781,60781,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB43 9HX,Any,ChargePlace Scotland,38,884.6,2,99.00%
Jun-23,60289,60289,"Campion Homes, ChargePlace Scotland",Dundee City,DD4 9JH,Any,ChargePlace Scotland,113,2629.78,0,100.00%
Jun-23,T53-HU1-4016-025,51494,ChargePlace Scotland,City of Edinburgh,EH30 9SF,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,52602,52602,"ChargePlace Scotland, Crieff Hydro Family of Hotels, Peebles Hydro Ltd",Scottish Borders,EH45 8BA,Any,ChargePlace Scotland,34,791.23,1,99.10%
Jun-23,60616,60616,"ChargePlace Scotland, Falkirk Council",Falkirk,FK3 8BZ,Any,ChargePlace Scotland,5,116.23,0,100.00%
Jun-23,4532,50582,"ChargePlace Scotland, University Of Strathclyde ARFC, BP - ChargePlace Scotland",Renfrewshire,PA4 9LJ,Any,ChargePlace Scotland,57,1324.66,0,100.00%
Jun-23,51499,51499,"ChargePlace Scotland, Dumfries and Galloway Council",Dumfries and Galloway,DG9 7RX,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,51506,51506,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA5 8FA,Any,ChargePlace Scotland,47,1092.1,0,75.80%
Jun-23,60475,60475,"ChargePlace Scotland, East Lothian Council",East Lothian,EH32 9QS,Any,ChargePlace Scotland,56,1301.17,0,100.00%
Jun-23,T53-IT1-0417-013,51502,"ChargePlace Scotland, Midlothian Council",Midlothian,EH22 1FF,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,53216,53216,"Angus Council, ChargePlace Scotland",Angus,DD8 1WH,Any,ChargePlace Scotland,203,4714.02,1,93.40%
Jun-23,51505,51505,"ChargePlace Scotland, University of Dundee",Dundee City,DD1 4HN,Any,ChargePlace Scotland,0,0,1,46.80%
Jun-23,52953,52953,"Ayrshire Roads Alliance, ChargePlace Scotland, East Ayrshire Council",East Ayrshire,KA3 1NQ,Any,ChargePlace Scotland,167,3876.05,1,99.40%
Jun-23,61031,61031,"ChargePlace Scotland, West Lothian Council",West Lothian,EH52 6FY,Any,ChargePlace Scotland,128,2969.2,2,90.00%
Jun-23,60227,60227,"ChargePlace Scotland, Edmundson Electrical Glasgow",West Dunbartonshire,G81 1SE,Any,ChargePlace Scotland,218,5053.1,1,99.40%
Jun-23,54003,54003,"ChargePlace Scotland, West Lothian Council",West Lothian,EH53 0GU,Any,ChargePlace Scotland,126,2918.02,2,94.40%
Jun-23,CMU1531,51512,"ChargePlace Scotland, North Lanarkshire Council, BP - ChargePlace Scotland",North Lanarkshire,ML1 5SY,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,53250,53250,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML2 0HQ,Any,ChargePlace Scotland,147,3402.57,2,92.00%
Jun-23,52720,52720,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA4 0AP,Any,ChargePlace Scotland,52,1202.45,0,100.00%
Jun-23,53556,53556,"ChargePlace Scotland, Scottish Government",,EH2 4DR,Any,ChargePlace Scotland,7,161.8,2,100.00%
Jun-23,52351,52351,South Lanarkshire Council,South Lanarkshire,ML3 7DT,Any,ChargePlace Scotland,33,762.74,1,100.00%
Jun-23,52038,52038,"Ayrshire Roads Alliance, ChargePlace Scotland, East Ayrshire Council",East Ayrshire,KA26 9NR,Any,ChargePlace Scotland,119,2748.74,0,100.00%
Jun-23,52405,52405,"ChargePlace Scotland, Moray Council",Moray,AB38 9PH,Any,ChargePlace Scotland,55,1269.55,0,91.80%
Jun-23,53594,53594,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML6 9EY,Any,ChargePlace Scotland,68,1569.48,0,98.40%
Jun-23,52684,52684,"ChargePlace Scotland, Falkirk Council",Falkirk,FK2 9EE,Any,ChargePlace Scotland,193,4453.18,1,92.80%
Jun-23,52987,52987,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 7FF,Any,ChargePlace Scotland,97,2237.8,0,97.60%
Jun-23,60919,60919,"ChargePlace Scotland, Eurogarages",Glasgow City,,Any,ChargePlace Scotland,190,4382.44,1,94.70%
Jun-23,51530,51530,"Angus Council, ChargePlace Scotland",Angus,DD7 6AG,Any,ChargePlace Scotland,0,0,0,100.00%
Jun-23,51533,51533,"ChargePlace Scotland, South Lanarkshire Council",South Lanarkshire,G74 5LB,Any,ChargePlace Scotland,0,0,2,100.00%
Jun-23,52491,52491,"ChargePlace Scotland, Highland Council",Highland,IV27 4LX,Any,ChargePlace Scotland,77,1775.98,5,97.60%
Jun-23,53963,53963,"ChargePlace Scotland, NHS Forth Valley",Falkirk,FK1 5SU,Any,ChargePlace Scotland,21,483.81,0,99.80%
Jun-23,52869,52869,"Aberdeenshire Council, ChargePlace Scotland",Aberdeen City,AB16 5GB,Any,ChargePlace Scotland,31,713.48,0,100.00%
Jun-23,54305,54305,"ChargePlace Scotland, Scottish Power Energy Networks, South Lanarkshire Council",South Lanarkshire,G72 7EA,Any,ChargePlace Scotland,46,1058.19,1,100.00%
Jun-23,13782,53368,"ChargePlace Scotland, Columba 1400, BP - ChargePlace Scotland",Highland,IV51 9JY,Any,ChargePlace Scotland,1,23,0,100.00%
Jun-23,60041,60041,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8BS,Any,ChargePlace Scotland,13,298.83,1,93.30%
Jun-23,60400,60400,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB41 9AE,Any,ChargePlace Scotland,145,3332.51,1,95.60%
Jun-23,54234,54234,"ChargePlace Scotland, Moray Council",Moray,AB55 4AR,Any,ChargePlace Scotland,37,849.67,0,100.00%
Jun-23,52418,52418,"Angus Council, ChargePlace Scotland",Angus,DD9 6HB,Any,ChargePlace Scotland,139,3191.96,1,96.50%
Jun-23,60949,60949,"ChargePlace Scotland, NHS Dumfries and Galloway",Dumfries and Galloway,,Any,ChargePlace Scotland,3,68.87,0,100.00%
Jun-23,APT50662,50662,"Aberdeen University, ChargePlace Scotland",Aberdeen City,AB25 2ZD,Any,ChargePlace Scotland,237,5440.62,3,100.00%
Jun-23,53527,53527,"ChargePlace Scotland, Stirling Council",Stirling,FK9 4TW,Any,ChargePlace Scotland,12,275.03,0,97.40%
Jun-23,61982,61982,"ChargePlace Scotland, East Ayrshire Council",East Ayrshire,,Any,ChargePlace Scotland,101,2311.15,1,100.00%
Jun-23,52459,52459,"ChargePlace Scotland, East Lothian Council",East Lothian,EH42 1XE,Any,ChargePlace Scotland,40,914.99,0,100.00%
Jun-23,52883,52883,"ChargePlace Scotland, East Lothian Council",East Lothian,EH21 8BU,Any,ChargePlace Scotland,14,320.15,0,100.00%
Jun-23,4207,52512,"ChargePlace Scotland, ScotRail, BP - ChargePlace Scotland",East Lothian,EH39 5LW,Any,ChargePlace Scotland,114,2604.34,2,100.00%
Jun-23,APT50982,50982,"ChargePlace Scotland, Stirling Council",Stirling,FK8 1QZ,Any,ChargePlace Scotland,35,799.07,0,100.00%
