Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Domain,Number of sessions,Power drawn (kWh),Number of faults,Uptime,Display category
Jul-24,APT50035,50035,"ChargePlace Scotland, Glenmoriston Arms Hotel",Highland,IV63 7YA,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50045,50045,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH89LN,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50055,50055,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH1 1LT,ChargePlace Scotland,4,67.38,0,100.00%,Public
Jul-24,50059,50059,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH1 1LT,ChargePlace Scotland,10,237.78,2,100.00%,Public
Jul-24,4157,50141,"ChargePlace Scotland, Midlothian Council, BP - ChargePlace Scotland",Midlothian,EH22 1JD,ChargePlace Scotland,13,114.58,0,100.00%,Public
Jul-24,WBECYC_0001,50142,"ChargePlace Scotland, Midlothian Council",Midlothian,EH10 9LA,ChargePlace Scotland,44,1609,0,100.00%,Public
Jul-24,1702500364-B94060091,50168,"ChargePlace Scotland, NHS Golden Jubilee",West Dunbartonshire,G81 4SA,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50206,50206,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB10 1AL,ChargePlace Scotland,3,121.48,0,100.00%,Public
Jul-24,50216,50216,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB24 5AR,ChargePlace Scotland,4,28.09,0,100.00%,Public
Jul-24,APT50217,50217,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA5 8FA,ChargePlace Scotland,48,769.05,0,100.00%,Public
Jul-24,50218,50218,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EB,ChargePlace Scotland,2,16.99,0,100.00%,Public
Jul-24,50220,50220,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EA,ChargePlace Scotland,3,16.77,1,100.00%,Public
Jul-24,50221,50221,"ChargePlace Scotland, Ullapool Harbour Trust",Highland,IV26 2UH,ChargePlace Scotland,139,3364.3,8,98.70%,Public
Jul-24,50222,50222,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EA,ChargePlace Scotland,6,66.94,0,100.00%,Public
Jul-24,APT50223,50223,"ChargePlace Scotland, Fife Council",Fife,KY11 7EJ,ChargePlace Scotland,73,395.01,1,100.00%,Public
Jul-24,50224,50224,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EB,ChargePlace Scotland,5,93.06,0,100.00%,Public
Jul-24,50226,50226,"ChargePlace Scotland, Clackmannanshire Council",Clackmannanshire,FK10 1EB,ChargePlace Scotland,4,43.46,0,100.00%,Public
Jul-24,APT50231,50231,"ChargePlace Scotland, Scottish Canals",Highland,PH33 7JH,ChargePlace Scotland,35,1094.99,0,100.00%,Public
Jul-24,4793,50233,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G62 8PB,ChargePlace Scotland,80,1556.65,1,100.00%,Public
Jul-24,4792,50235,"ChargePlace Scotland, East Dunbartonshire Council, BP - ChargePlace Scotland",East Dunbartonshire,G66 5BG,ChargePlace Scotland,24,751.9,0,100.00%,Public
Jul-24,50240,50240,"ChargePlace Scotland, Dundee City Council",Dundee City,DD1 3DY,ChargePlace Scotland,2,0.03,0,98.40%,Public
Jul-24,50241,50241,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 4RZ,ChargePlace Scotland,62,1091.38,1,100.00%,Public
Jul-24,1611510551/B94060093,50244,"ChargePlace Scotland, Wilderness Scotland Ltd",Highland,PH22 1ST,ChargePlace Scotland,56,941.48,3,100.00%,Public
Jul-24,APT1138-0001-12,50246,"ChargePlace Scotland, University of Dundee",Dundee City,DD1 5EN,ChargePlace Scotland,25,169.45,0,100.00%,Public
Jul-24,50254,50254,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS7 5LA,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50255,50255,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS9 5XD,ChargePlace Scotland,5,82.85,1,66.20%,Public
Jul-24,APT50256,50256,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS1 2BW,ChargePlace Scotland,19,176.76,0,100.00%,Public
Jul-24,50259,50259,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML1 3ED,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50260,50260,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,ML1 3ED,ChargePlace Scotland,7,156.03,0,100.00%,Public
Jul-24,50263,50263,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 0HU,ChargePlace Scotland,17,106.26,0,99.60%,Public
Jul-24,50264,50264,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 0HU,ChargePlace Scotland,18,124.34,2,83.30%,Public
Jul-24,50269,50269,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 8ES,ChargePlace Scotland,27,557.6,0,100.00%,Public
Jul-24,50276,50276,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8AW,ChargePlace Scotland,27,536.79,3,100.00%,Public
Jul-24,50277,50277,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8AW,ChargePlace Scotland,49,763.03,0,97.90%,Public
Jul-24,50278,50278,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8AW,ChargePlace Scotland,29,396.19,1,100.00%,Public
Jul-24,APTCYCPIP-0045-13,50279,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,KY13 8FH,ChargePlace Scotland,14,215.25,0,100.00%,Public
Jul-24,50280,50280,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,KY13 8FH,ChargePlace Scotland,20,329.87,2,100.00%,Public
Jul-24,APTCYCPIP-0047-13,50281,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH16 5AW,ChargePlace Scotland,51,489.24,2,100.00%,Public
Jul-24,50282,50282,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH16 5AW,ChargePlace Scotland,31,626.9,6,97.90%,Public
Jul-24,APTCYCPIP-0049-13,50283,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 0PX,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50284,50284,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 0PX,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50285,50285,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 0PX,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50286,50286,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 0PX,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APTCYCPIP-0054-13,50287,"ChargePlace Scotland, New College Lanarkshire",North Lanarkshire,ML1 2TX,ChargePlace Scotland,3,8.22,0,100.00%,Public
Jul-24,APTCYCPIP-0055-13,50288,"ChargePlace Scotland, New College Lanarkshire",North Lanarkshire,ML1 2TX,ChargePlace Scotland,14,511.25,0,100.00%,Public
Jul-24,50289,50289,"ChargePlace Scotland, West College Scotland",Renfrewshire,PA3 4DR,ChargePlace Scotland,56,352.29,3,100.00%,Public
Jul-24,50290,50290,"Ayrshire Roads Alliance, ChargePlace Scotland",South Ayrshire,KA10 6JU,ChargePlace Scotland,0,0,3,100.00%,Public
Jul-24,50297,50297,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH16 5AW,ChargePlace Scotland,196,3316.39,8,90.90%,Public
Jul-24,APTCYCPIP-0039-13,50315,"ChargePlace Scotland, Dundee City Council",Dundee City,DD1 4BY,ChargePlace Scotland,35,316.1,0,100.00%,Public
Jul-24,APT50317,50317,"Angus Council, ChargePlace Scotland",Angus,DD10 8JN,ChargePlace Scotland,6,80.8,0,100.00%,Public
Jul-24,50318,50318,"Ayrshire College, ChargePlace Scotland",South Ayrshire,KA8 0EU,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APTCYCPIP-0062-13,50322,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH15 2PP,ChargePlace Scotland,11,137.58,0,100.00%,Public
Jul-24,50323,50323,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH22 3FR,ChargePlace Scotland,6,53.01,0,100.00%,Public
Jul-24,50324,50324,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH11 4DE,ChargePlace Scotland,10,61.98,0,100.00%,Public
Jul-24,APTCYCPIP-0065-13,50325,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH5 1QE,ChargePlace Scotland,4,13.87,0,100.00%,Public
Jul-24,50326,50326,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH5 1QE,ChargePlace Scotland,9,118.03,0,100.00%,Public
Jul-24,50327,50327,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH5 1QE,ChargePlace Scotland,15,119.4,0,100.00%,Public
Jul-24,50328,50328,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH22 3FR,ChargePlace Scotland,3,234.81,0,100.00%,Public
Jul-24,50330,50330,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH15 2PP,ChargePlace Scotland,39,847.74,1,100.00%,Public
Jul-24,APTCYCPIP-0071-13,50331,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH15 2PP,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50334,50334,"Argyll College UHI Ltd, ChargePlace Scotland",Argyll and Bute,PA34 4RY,ChargePlace Scotland,14,294.56,0,100.00%,Public
Jul-24,1611510529/B94060093,50335,"ChargePlace Scotland, Ore Valley Housing Association",Fife,KY5 9AF,ChargePlace Scotland,0,0,0,99.00%,Public
Jul-24,50336,50336,"Ayrshire College, ChargePlace Scotland",North Ayrshire,KA13 6DE,ChargePlace Scotland,71,459.25,0,100.00%,Public
Jul-24,50340,50340,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB21 9RG,ChargePlace Scotland,70,1435.05,0,90.70%,Public
Jul-24,50341,50341,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB24 5HY,ChargePlace Scotland,4,20.38,0,100.00%,Public
Jul-24,50342,50342,"ChargePlace Scotland, ANADNA PROPERTIES LTD",North Lanarkshire,ML1 4WQ,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50343,50343,"ChargePlace Scotland, ANADNA PROPERTIES LTD",North Lanarkshire,ML1 4WQ,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50344,50344,"ChargePlace Scotland, THE CITY OF EDINBURGH COUNCIL",City of Edinburgh,EH17 8QF,ChargePlace Scotland,37,570.65,0,100.00%,Public
Jul-24,APT50345,50345,"ChargePlace Scotland, THE CITY OF EDINBURGH COUNCIL",City of Edinburgh,EH4 4DP,ChargePlace Scotland,55,769.22,0,99.80%,Public
Jul-24,1611511030/B94060093,50347,"ChargePlace Scotland, Ore Valley Housing Association",Fife,KY5 0BW,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50348,50348,"ChargePlace Scotland, Dundee City Council",Dundee City,DD1 4BY,ChargePlace Scotland,46,531.84,0,100.00%,Public
Jul-24,50349,50349,"ChargePlace Scotland, Dundee City Council",Dundee City,DD1 4BX,ChargePlace Scotland,12,187.12,0,100.00%,Public
Jul-24,50356,50356,"ChargePlace Scotland, Scottish Borders Council",Scottish Borders,TD1 1BY,ChargePlace Scotland,113,1883.7,2,98.20%,Public
Jul-24,50374,50374,"ChargePlace Scotland, The Electrical Contractors’ Association of Scotland  (SELECT)",Midlothian,EH26 0SB,ChargePlace Scotland,42,948.85,0,100.00%,Public
Jul-24,APTCYCPIP-0086-13,50376,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 8PS,ChargePlace Scotland,26,356.17,4,82.60%,Public
Jul-24,50382,50382,"ChargePlace Scotland, University of Dundee",Dundee City,DD1 5EN,ChargePlace Scotland,21,330.58,1,100.00%,Public
Jul-24,50401,50401,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 6RU,ChargePlace Scotland,8,64.89,0,100.00%,Public
Jul-24,50402,50402,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G4 0UW,ChargePlace Scotland,6,130.7,1,100.00%,Public
Jul-24,50403,50403,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G4 0UW,ChargePlace Scotland,6,93.75,0,100.00%,Public
Jul-24,50404,50404,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G4 0DE,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50405,50405,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 4PS,ChargePlace Scotland,57,567.47,2,97.60%,Public
Jul-24,50406,50406,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 8SD,ChargePlace Scotland,6,50.77,0,95.70%,Public
Jul-24,50407,50407,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 4PS,ChargePlace Scotland,52,348.45,1,100.00%,Public
Jul-24,50408,50408,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G4 0UW,ChargePlace Scotland,16,359.05,0,100.00%,Public
Jul-24,50409,50409,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 6RU,ChargePlace Scotland,33,448.28,0,100.00%,Public
Jul-24,50410,50410,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 6RU,ChargePlace Scotland,34,203.21,0,100.00%,Public
Jul-24,50411,50411,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 6RU,ChargePlace Scotland,32,284.25,3,99.70%,Public
Jul-24,50412,50412,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 7PA,ChargePlace Scotland,37,625.57,0,100.00%,Public
Jul-24,50413,50413,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 7PA,ChargePlace Scotland,44,424.45,0,99.40%,Public
Jul-24,50414,50414,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 4PS,ChargePlace Scotland,35,39,2,55.90%,Public
Jul-24,50415,50415,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G4 0UW,ChargePlace Scotland,21,344.76,1,100.00%,Public
Jul-24,APT50428,50428,"ChargePlace Scotland, Royal Botanic Gardens Edinburgh",City of Edinburgh,EH45 9JU,ChargePlace Scotland,21,272.38,0,47.80%,Public
Jul-24,50430,50430,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 7PA,ChargePlace Scotland,41,468.68,0,100.00%,Public
Jul-24,50432,50432,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG6 4PJ,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50433,50433,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G4 0DE,ChargePlace Scotland,57,0,1,100.00%,Public
Jul-24,50434,50434,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G4 0DE,ChargePlace Scotland,41,269.02,5,100.00%,Public
Jul-24,50439,50439,"ChargePlace Scotland, DUMFRIES & GALLOWAY COUNCIL",Dumfries and Galloway,DG12 6AP,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50452,50452,"ChargePlace Scotland, Fife Council",Fife,KY3 0SN,ChargePlace Scotland,49,922.21,0,99.20%,Public
Jul-24,50453,50453,"ChargePlace Scotland, Fife Council",Fife,KY11 9HZ,ChargePlace Scotland,42,1403.28,0,100.00%,Public
Jul-24,APT50454,50454,"ChargePlace Scotland, Fife Council",Fife,KY11 1LN,ChargePlace Scotland,25,409.7,1,99.50%,Public
Jul-24,APT50455,50455,"ChargePlace Scotland, Fife Council",Fife,KY2 5PF,ChargePlace Scotland,65,2002.36,0,100.00%,Public
Jul-24,50456,50456,"ChargePlace Scotland, Fife Council",Fife,KY1 1UZ,ChargePlace Scotland,63,636.3,0,100.00%,Public
Jul-24,50457,50457,"ChargePlace Scotland, Fife Council",Fife,KY12 0GA,ChargePlace Scotland,36,1148.5,0,99.20%,Public
Jul-24,50461,50461,"ChargePlace Scotland, Fife Council",Fife,KY11 1NQ,ChargePlace Scotland,30,987.63,1,99.70%,Public
Jul-24,50462,50462,"ChargePlace Scotland, Fife Council",Fife,KY12 0GA,ChargePlace Scotland,58,1995.76,2,100.00%,Public
Jul-24,APT50463,50463,"ChargePlace Scotland, Livingston Propco SARL",West Lothian,EH54 6FQ,ChargePlace Scotland,30,268.23,0,100.00%,Public
Jul-24,APT50464,50464,"ChargePlace Scotland, Livingston Propco SARL",West Lothian,EH54 6FQ,ChargePlace Scotland,49,738.01,0,100.00%,Public
Jul-24,APT50465,50465,"ChargePlace Scotland, Livingston Propco SARL",West Lothian,EH54 6FQ,ChargePlace Scotland,40,582.36,0,100.00%,Public
Jul-24,APT50466,50466,"ChargePlace Scotland, Livingston Propco SARL",West Lothian,EH54 6FQ,ChargePlace Scotland,25,394.9,0,100.00%,Public
Jul-24,APT50467,50467,"ChargePlace Scotland, Livingston Propco SARL",West Lothian,EH54 6FQ,ChargePlace Scotland,17,142.81,0,100.00%,Public
Jul-24,APT50468,50468,"ChargePlace Scotland, Livingston Propco SARL",West Lothian,EH54 6FQ,ChargePlace Scotland,11,162.7,0,100.00%,Public
Jul-24,4823,50491,"ChargePlace Scotland, North Lanarkshire Council, BP - ChargePlace Scotland",North Lanarkshire,ML5 3EK,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,EFA50494,50494,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB51 3SH,ChargePlace Scotland,10,0,0,98.00%,Public
Jul-24,EFA50497,50497,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 7BA,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,EFA50498,50498,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB15 9LW,ChargePlace Scotland,0,0,1,100.00%,Public
Jul-24,1701522494-B94060091,50500,"ChargePlace Scotland, The Avenue Shopping Centre",East Renfrewshire,G77 6TW,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50503,50503,"ChargePlace Scotland, Scottish Midland Co-Operative Society Ltd",Perth and Kinross,PH13 6DJ,ChargePlace Scotland,34,303.81,0,100.00%,Public
Jul-24,50507,50507,"Ayrshire Roads Alliance, ChargePlace Scotland",East Ayrshire,KA3 5AP,ChargePlace Scotland,56,2028.85,0,100.00%,Public
Jul-24,50509,50509,"ChargePlace Scotland, Glenisle Hotel & Bistro",North Ayrshire,KA27 8LY,ChargePlace Scotland,0,0,2,100.00%,Public
Jul-24,APT50510,50510,"ChargePlace Scotland, The Speyside Heather Centre",Highland,PH26 3PA,ChargePlace Scotland,0,0,1,100.00%,Public
Jul-24,APT50514,50514,"ChargePlace Scotland, CLACHAIG INN LTD",Highland,PH49 4HX,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50518,50518,"ChargePlace Scotland, eCar Club",Na h-Eileanan an Iar,HS1 2BQ,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50525,50525,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA27 8AY,ChargePlace Scotland,101,1980.21,7,99.40%,Public
Jul-24,50526,50526,"Caledonian Maritime Assets Ltd, ChargePlace Scotland",Argyll and Bute,PA29 6YF,ChargePlace Scotland,67,1134.01,8,76.80%,Public
Jul-24,APTCYCPIP-0102-13,50527,"ChargePlace Scotland, Clyde Muirshiel Regional Park",Renfrewshire,PA12 4EA,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50530,50530,"ChargePlace Scotland, South Lanarkshire Council",South Lanarkshire,ML12 6SD,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50535,50535,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G14 9HD,ChargePlace Scotland,30,113.75,0,100.00%,Public
Jul-24,APTCYCPIP-0111-13,50536,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G40 3HY,ChargePlace Scotland,35,210.24,0,100.00%,Public
Jul-24,50537,50537,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G52 1HH,ChargePlace Scotland,103,1242.01,1,100.00%,Public
Jul-24,50538,50538,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G53 6EW,ChargePlace Scotland,35,565.65,2,100.00%,Public
Jul-24,50540,50540,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8RS,ChargePlace Scotland,9,172,0,83.10%,Public
Jul-24,50541,50541,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8WY,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APTCYCPIP-0118-13,50543,"ChargePlace Scotland, NHS Greater Glasgow & Clyde",West Dunbartonshire,G83 0UA,ChargePlace Scotland,87,1882.18,1,100.00%,Public
Jul-24,APTCYCPIP-0119-13,50544,"ChargePlace Scotland, NHS Greater Glasgow & Clyde",West Dunbartonshire,G83 0UA,ChargePlace Scotland,133,1919.77,2,100.00%,Public
Jul-24,APT50546,50546,"ChargePlace Scotland, Southside Housing Association Ltd (Public CPS)",Glasgow City,G51 4EB,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APTCYCPIP-0123-13,50548,"ChargePlace Scotland, Deanside Limited",Dundee City,DD5 1NF,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APTCYCPIP-0124-13,50549,"ChargePlace Scotland, Deanside Limited",Dundee City,DD2 1DX,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50551,50551,"ChargePlace Scotland, Solway View Campsite",Dumfries and Galloway,DG6 4TR,ChargePlace Scotland,28,341.73,2,100.00%,Public
Jul-24,50558,50558,"ChargePlace Scotland, Moray Council",Moray,IV30 1NE,ChargePlace Scotland,94,2046.82,3,91.30%,Public
Jul-24,APTCYCPIP-0134-13,50559,"ChargePlace Scotland, Dingwall & Highland Marts LTD",Highland,IV15 9TP,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50560,50560,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS3 3BG,ChargePlace Scotland,5,108.12,1,100.00%,Public
Jul-24,50561,50561,"ChargePlace Scotland, Moray Carshare",Moray,IV36 3TZ,ChargePlace Scotland,6,163.37,4,100.00%,Public
Jul-24,APTCYCPIP-0137-13,50563,"ChargePlace Scotland, Knockhill Racing Circuit Ltd",Fife,KY12 9TF,ChargePlace Scotland,27,506.77,0,100.00%,Public
Jul-24,50565,50565,"ChargePlace Scotland, University of Dundee",Dundee City,DD2 1QH,ChargePlace Scotland,6,32.58,0,100.00%,Public
Jul-24,50566,50566,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G1 1HO,ChargePlace Scotland,77,1277,0,100.00%,Public
Jul-24,50567,50567,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G1 1HO,ChargePlace Scotland,64,955.11,0,100.00%,Public
Jul-24,50575,50575,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH2 8AW,ChargePlace Scotland,27,423.4,2,46.60%,Public
Jul-24,50577,50577,"Angus Council, ChargePlace Scotland",Angus,DD11 1PS,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50578,50578,"Angus Council, ChargePlace Scotland",Angus,DD10 8TR,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,50581,50581,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB10 1LU,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,4532,50582,"ChargePlace Scotland, University Of Strathclyde ARFC, BP - ChargePlace Scotland",Renfrewshire,PA4 9LJ,ChargePlace Scotland,41,509.91,0,100.00%,Public
Jul-24,50584,50584,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB11 7TH,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APTCYCPIP-0085-13,50585,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB10 1LU,ChargePlace Scotland,29,557.91,1,100.00%,Public
Jul-24,50588,50588,"ChargePlace Scotland, Clyde Marine Training",Renfrewshire,G52 4JQ,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50589,50589,"ChargePlace Scotland, CREETOWN INITIATIVE LIMITED",Dumfries and Galloway,DG8 7JE,ChargePlace Scotland,15,376.85,0,100.00%,Public
Jul-24,50594,50594,"ChargePlace Scotland, Intu Braehead Shopping Centre",Renfrewshire,G51 4BN,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APTCYCPIP-0095-13,50595,"ChargePlace Scotland, Intu Braehead Shopping Centre",Renfrewshire,G51 4BN,ChargePlace Scotland,89,618.12,4,100.00%,Public
Jul-24,APTCYCPIP-0096-13,50596,"ChargePlace Scotland, Intu Braehead Shopping Centre",Renfrewshire,G51 4BN,ChargePlace Scotland,151,1005.26,4,100.00%,Public
Jul-24,APT50603,50603,"ChargePlace Scotland, Eureka Solutions (Scotland) Ltd",South Lanarkshire,G74 5PB,ChargePlace Scotland,35,1042.88,0,100.00%,Public
Jul-24,APT50604,50604,"ChargePlace Scotland, Eureka Solutions (Scotland) Ltd",South Lanarkshire,G74 5PB,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50605,50605,"ChargePlace Scotland, Eureka Solutions (Scotland) Ltd",South Lanarkshire,G74 5PB,ChargePlace Scotland,38,1245.52,0,100.00%,Public
Jul-24,4002,50606,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G76 0AY,ChargePlace Scotland,108,588.11,0,100.00%,Public
Jul-24,10210,50607,"ChargePlace Scotland, East Renfrewshire Council, BP - ChargePlace Scotland",East Renfrewshire,G46 6AT,ChargePlace Scotland,125,1860.43,3,100.00%,Public
Jul-24,50611,50611,"ChargePlace Scotland, North Lanarkshire Council",North Lanarkshire,G65 9HT,ChargePlace Scotland,66,1858.86,5,93.30%,Public
Jul-24,APT50612,50612,"ChargePlace Scotland, Argyll & Bute Council",Argyll and Bute,PA34 5DD,ChargePlace Scotland,66,1105.86,3,100.00%,Public
Jul-24,EFA50899,50629,"ChargePlace Scotland, Orkney Islands Council",Orkney Islands,KW15 1BX,ChargePlace Scotland,29,356.96,0,100.00%,Public
Jul-24,APT50630,50630,"ChargePlace Scotland, University of Dundee",Dundee City,DD1 4HN,ChargePlace Scotland,28,419.15,4,100.00%,Public
Jul-24,APT50631,50631,"ChargePlace Scotland, Midlothian Council",Midlothian,EH22 1JD,ChargePlace Scotland,29,464.08,0,100.00%,Public
Jul-24,50632,50632,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA12 8EE,ChargePlace Scotland,36,522.93,0,100.00%,Public
Jul-24,APT50633,50633,"ChargePlace Scotland, Falkirk Council",Falkirk,FK1 5LU,ChargePlace Scotland,3,28.15,0,100.00%,Public
Jul-24,2869,50642,"ChargePlace Scotland, VME RETAIL SYSTEMS LTD, BP - ChargePlace Scotland",Perth and Kinross,KY13 0UQ,ChargePlace Scotland,6,171.18,0,100.00%,Public
Jul-24,50643,50643,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G42 0DP,ChargePlace Scotland,18,535.67,0,100.00%,Public
Jul-24,APT50644,50644,"Caledonian Maritime Assets Ltd, ChargePlace Scotland",Argyll and Bute,PA61 7YW,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT50646,50646,"Caledonian Maritime Assets Ltd, ChargePlace Scotland",Na h-Eileanan an Iar,HS9 5XD,ChargePlace Scotland,0,0,0,100.00%,Public
