Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Domain,Number of sessions,Power drawn (kWh),Number of faults,Uptime,Display category
Jul-24,APT51301,51301,Loch Lomond Shores,West Dunbartonshire,G83 8QL,ChargePlace Scotland,117,2031.71,8,100.00%,Public
Jul-24,APT51303,51303,"ChargePlace Scotland, Moray Council",Moray,IV30 1DJ,ChargePlace Scotland,237,5741.12,1,86.40%,Public
Jul-24,APT51305,51305,"ChargePlace Scotland, West Harris Trust",Na h-Eileanan an Iar,HS3 3AE,ChargePlace Scotland,15,237.16,2,100.00%,Public
Jul-24,APT51306,51306,"ChargePlace Scotland, NHS Western Isles",Na h-Eileanan an Iar,HS1 2AF,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT51307,51307,NHS Western Isles,Na h-Eileanan an Iar,HS3 3BG,ChargePlace Scotland,104,1701.79,4,100.00%,Public
Jul-24,APT51309,51309,"Angus Council, ChargePlace Scotland",Angus,DD5 4NN,ChargePlace Scotland,2,34.14,0,100.00%,Public
Jul-24,APT51310,51310,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS2 9JE,ChargePlace Scotland,22,261.45,0,100.00%,Public
Jul-24,APT51311,51311,"ChargePlace Scotland, Comhairle Nan Eilean Siar",Na h-Eileanan an Iar,HS2 9BQ,ChargePlace Scotland,4,77.05,0,100.00%,Public
Jul-24,APT51313,51313,"ChargePlace Scotland, Aberdeen City Council",Aberdeen City,AB12 3HW,ChargePlace Scotland,51,1288.58,0,100.00%,Public
Jul-24,t53_hu1_4016_026,51314,"ChargePlace Scotland, THE CITY OF EDINBURGH COUNCIL",City of Edinburgh,EH28 8LS,ChargePlace Scotland,32,383.9,0,100.00%,Public
Jul-24,3128,51322,"ChargePlace Scotland, Inverclyde Council, BP - ChargePlace Scotland",Inverclyde,PA15 2UA,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT51323,51323,"ChargePlace Scotland, The Hydrogen Office",Fife,KY8 3RS,ChargePlace Scotland,78,946.87,2,100.00%,Public
Jul-24,APT51324,51324,"ChargePlace Scotland, East Ayrshire Council, Ayrshire Roads Alliance",East Ayrshire,KA1 1PH,ChargePlace Scotland,61,1123.84,0,99.40%,Public
Jul-24,APT51325,51325,"ChargePlace Scotland, East Ayrshire Council, Ayrshire Roads Alliance",South Ayrshire,KA7 1DY,ChargePlace Scotland,94,2624.06,0,100.00%,Public
Jul-24,51326,51326,"ChargePlace Scotland, SUMMERHALL MANAGEMENT LTD",City of Edinburgh,EH19 1PL,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51327,51327,"ChargePlace Scotland, SUMMERHALL MANAGEMENT LTD",City of Edinburgh,EH19 1PL,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51329,51329,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH11 4DE,ChargePlace Scotland,3,46.98,0,100.00%,Public
Jul-24,51330,51330,"ChargePlace Scotland, Edinburgh College",City of Edinburgh,EH11 4DE,ChargePlace Scotland,3,40.42,0,100.00%,Public
Jul-24,51331,51331,"ChargePlace Scotland, Whitmuir Organic Farm",Scottish Borders,EH46 7BB,ChargePlace Scotland,22,342.56,0,100.00%,Public
Jul-24,APT51332,51332,NHS Western Isles,Na h-Eileanan an Iar,HS7 5LA,ChargePlace Scotland,61,1662.64,0,100.00%,Public
Jul-24,APT51333,51333,NHS Western Isles,Na h-Eileanan an Iar,HS1 2BN,ChargePlace Scotland,0,0,1,100.00%,Public
Jul-24,APT51334,51334,"ChargePlace Scotland, University of Edinburgh",City of Edinburgh,EH9 3BG,ChargePlace Scotland,44,518.75,1,100.00%,Public
Jul-24,APT51339,51339,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB51 3SH,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT51344,51344,"NHS Tayside, ChargePlace Scotland",Dundee City,DD2 1SP,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51348,51348,"ChargePlace Scotland, Glasgow City Council, Glasgow City Council Co Wheels",Glasgow City,G12 8AF,ChargePlace Scotland,29,495.12,0,100.00%,Public
Jul-24,51349,51349,"ChargePlace Scotland, Glasgow City Council, Glasgow City Council Co Wheels",Glasgow City,G11 5LX,ChargePlace Scotland,51,756.69,0,100.00%,Public
Jul-24,APT51350,51350,"ChargePlace Scotland, Troon Yacht Haven Ltd",South Ayrshire,KA10 6DJ,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51352,51352,"ChargePlace Scotland, THE CITY OF EDINBURGH COUNCIL",City of Edinburgh,EH4 7ES,ChargePlace Scotland,25,432.28,2,100.00%,Public
Jul-24,51354,51354,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G2 6TS,ChargePlace Scotland,42,754.11,0,100.00%,Public
Jul-24,51361,51361,"ChargePlace Scotland, NHS Tayside",Perth and Kinross,PH7 3HR,ChargePlace Scotland,41,943,0,100.00%,Public
Jul-24,51363,51363,"ChargePlace Scotland, THE CITY OF EDINBURGH COUNCIL",City of Edinburgh,EH20 9NP,ChargePlace Scotland,8,76.21,0,100.00%,Public
Jul-24,4530,51364,"ChargePlace Scotland, INTERMOOR LIMITED, BP - ChargePlace Scotland",Aberdeen City,AB23 8JX,ChargePlace Scotland,26,165.4,1,100.00%,Public
Jul-24,51366,51366,"ChargePlace Scotland, Queen Margaret University",East Lothian,EH21 6UU,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,51367,51367,"Aberdeen City Council, ChargePlace Scotland",Aberdeen City,AB21 0BZ,ChargePlace Scotland,0,0,1,100.00%,Public
Jul-24,1701522489-B94060091,51368,JOA Leisure Ltd - Flipout,South Lanarkshire,G73 1UG,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,1612505824-B94060091,51369,JOA Leisure Ltd - Flipout,South Lanarkshire,G73 1UG,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT51370,51370,"ChargePlace Scotland, University of St Andrews",Fife,KY16 9AX,ChargePlace Scotland,26,409.46,0,100.00%,Public
Jul-24,51378,51378,"ChargePlace Scotland, University of St Andrews",Fife,KY16 9AR,ChargePlace Scotland,45,968.37,1,100.00%,Public
Jul-24,APT51383,51383,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA3 1TL,ChargePlace Scotland,76,974.95,0,96.60%,Public
Jul-24,51386,51386,"Angus Council, ChargePlace Scotland",Angus,DD11 1HG,ChargePlace Scotland,19,224.52,0,100.00%,Public
Jul-24,51387,51387,"Angus Council, ChargePlace Scotland",Angus,DD11 1HG,ChargePlace Scotland,11,276.45,0,100.00%,Public
Jul-24,51391,51391,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB41 9RY,ChargePlace Scotland,9,98.91,0,100.00%,Public
Jul-24,APT51392,51392,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB31 5XT,ChargePlace Scotland,77,1238.92,0,100.00%,Public
Jul-24,APT51393,51393,"ChargePlace Scotland, Aberdeenshire Council",Aberdeenshire,AB35 5NE,ChargePlace Scotland,128,2029.13,0,100.00%,Public
Jul-24,APT51394,51394,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB35 5YE,ChargePlace Scotland,72,1169.7,1,100.00%,Public
Jul-24,51395,51395,"Aberdeenshire Council, ChargePlace Scotland",Aberdeenshire,AB30 1AA,ChargePlace Scotland,38,1400.05,1,100.00%,Public
Jul-24,APT51404,51404,"Am Sci Tech Ltd, ChargePlace Scotland",Aberdeen City,AB228GT,ChargePlace Scotland,5,93,0,100.00%,Public
Jul-24,51406,51406,"ChargePlace Scotland, NHS Highlands (Public)",Highland,IV2 3FG,ChargePlace Scotland,52,1263.06,1,90.80%,Public
Jul-24,APT51409,51409,"ChargePlace Scotland, Hansel Foundation",South Ayrshire,KA1 5PU,ChargePlace Scotland,1,3.82,0,100.00%,Public
Jul-24,APT51410,51410,"ChargePlace Scotland, Crieff Hydro Family of Hotels, Crieff Hydro Hotel",Perth and Kinross,PH7 3LQ,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT51411,51411,"ChargePlace Scotland, Crieff Hydro Family of Hotels, Crieff Hydro Hotel",Perth and Kinross,PH7 3LQ,ChargePlace Scotland,80,1854.59,7,100.00%,Public
Jul-24,51415,51415,"ChargePlace Scotland, Moray Council",Moray,IV30 1PU,ChargePlace Scotland,35,857.43,0,100.00%,Public
Jul-24,APT51417,51417,"ChargePlace Scotland, KCA DEUTAG DRILLING LTD",Aberdeenshire,AB12 4XX,ChargePlace Scotland,0,0,0,100.00%,Public
Jul-24,APT51418,51418,"ChargePlace Scotland, KCA DEUTAG DRILLING LTD",Aberdeenshire,AB12 4XX,ChargePlace Scotland,46,1227.59,1,100.00%,Public
Jul-24,APT51419,51419,"ChargePlace Scotland, North Ayrshire Council",North Ayrshire,KA30 9DR,ChargePlace Scotland,23,581,1,100.00%,Public
Jul-24,51421,51421,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 6BY,ChargePlace Scotland,264,3503.21,0,81.80%,Public
Jul-24,APT51422,51422,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 6BY,ChargePlace Scotland,149,1790.1,1,93.60%,Public
Jul-24,APT51423,51423,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 6BY,ChargePlace Scotland,242,5071.88,1,88.60%,Public
Jul-24,51424,51424,"ChargePlace Scotland, Dundee City Council",Dundee City,DD4 6BY,ChargePlace Scotland,285,6260.38,0,87.70%,Public
