Month,Com-ID,Display ID,Owner,Local authority area,Postcode,Allowed vehicle type,Domain,Number of sessions,Power drawn (kWh),Number of Tickets,Uptime
Feb-23,APT50747,50747,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA4 8JL,Any,ChargePlace Scotland,209,3713.19,0,100.00%
Feb-23,APT50748,50748,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA12 4AJ,Any,ChargePlace Scotland,143,2477.03,1,100.00%
Feb-23,EFA50754,50754,"ChargePlace Scotland, Scottish Borders, Scottish Borders Rapid Tariff",Scottish Borders,TD12 4AE,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50755,50755,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8AG,Any,ChargePlace Scotland,131,2619.2,4,100.00%
Feb-23,2804,50762,"ChargePlace Scotland, East Coast Viners",Aberdeenshire,AB39 3UH,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,APT50768,50768,Loch Lomond & The Trossachs National Park Authority,Stirling,G63 0JQ,Any,ChargePlace Scotland,49,300.94,1,100.00%
Feb-23,APT50776,50776,"ChargePlace Scotland, Guildtown Community Association, Guildtown Community Association EV 7kW Tariff",Perth and Kinross,PH2 6BY,Any,ChargePlace Scotland,9,278.77,1,100.00%
Feb-23,50779,50779,"ChargePlace Scotland, Fife College",Fife,KY6 2RA,Any,ChargePlace Scotland,88,1595.89,1,100.00%
Feb-23,APT50781,50781,"ChargePlace Scotland, Treshnish and Haunn Cottages",Argyll and Bute,PA75 6QX,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50782,50782,"Angus Council, ChargePlace Scotland",Angus,DD9 6EQ,Any,ChargePlace Scotland,35,605.35,3,100.00%
Feb-23,APT50784,50784,"GPG Montrose LTD, ChargePlace Scotland",Angus,DD10 9ET,Any,ChargePlace Scotland,3,138.24,0,100.00%
Feb-23,50787,50787,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G1 1HL,Any,ChargePlace Scotland,36,595.72,0,100.00%
Feb-23,50788,50788,"ChargePlace Scotland, Langstane Housing Association",Aberdeen City,AB24 1SL,Any,ChargePlace Scotland,34,688.72,0,100.00%
Feb-23,2814,50789,"Autoecosse Mitsubishi, ChargePlace Scotland, BP - ChargePlace Scotland",Dundee City,DD4 8ED,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50791,50791,"ChargePlace Scotland, Orkney Council Fast 7KW Tariff, Orkney Islands Council",Orkney Islands,KW15 1AN,Any,ChargePlace Scotland,2,2.73,0,100.00%
Feb-23,APT50793,50793,"ChargePlace Scotland, X Leisure",City of Edinburgh,EH11 1AF,Any,ChargePlace Scotland,255,3864.78,6,100.00%
Feb-23,APT50794,50794,"ChargePlace Scotland, X Leisure",City of Edinburgh,EH11 1AF,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50797,50797,"ChargePlace Scotland, Glasgow City Council",Glasgow City,G3 8RS,Any,ChargePlace Scotland,198,2810.84,4,100.00%
Feb-23,APT50798,50798,The Crown Estate,Moray,AB37 9EX,Any,ChargePlace Scotland,27,889.04,1,100.00%
Feb-23,APT50799,50799,"Arbuthnott Community Association, ChargePlace Scotland",Aberdeenshire,AB30 1PB,Any,ChargePlace Scotland,1,4.92,0,100.00%
Feb-23,APT50805,50805,"ChargePlace Scotland, University of St Andrews",Fife,KY16 9XW,Any,ChargePlace Scotland,43,879.64,2,100.00%
Feb-23,APT50806,50806,"ChargePlace Scotland, University of St Andrews",Fife,KY16 9LY,Any,ChargePlace Scotland,67,1066.74,0,100.00%
Feb-23,50807,50807,"ChargePlace Scotland, University of St Andrews",Fife,ky16 9ts,Any,ChargePlace Scotland,159,2909.7,6,100.00%
Feb-23,50808,50808,"ChargePlace Scotland, NHS Tayside",Perth and Kinross,PH1 1NX,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,APT50809,50809,"ChargePlace Scotland, NHS Tayside",Angus,DD9 7QA,Any,ChargePlace Scotland,70,1462.21,0,100.00%
Feb-23,APT50811,50811,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH15 2AD,Any,ChargePlace Scotland,77,1344.74,0,100.00%
Feb-23,APT50813,50813,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH7 3HA,Any,ChargePlace Scotland,75,1158.61,0,100.00%
Feb-23,APT50814,50814,"ChargePlace Scotland, Renfrewshire Council",Renfrewshire,PA3 4DA,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50816,50816,"Ayrshire Roads Alliance, ChargePlace Scotland",South Ayrshire,KA26 9AJ,Any,ChargePlace Scotland,0,0,1,100.00%
Feb-23,50817,50817,"Ayrshire Roads Alliance, ChargePlace Scotland",South Ayrshire,KA10 6QX,Any,ChargePlace Scotland,304,5110.83,0,100.00%
Feb-23,APT50819,50819,"Ayrshire Roads Alliance, ChargePlace Scotland",East Ayrshire,KA18 2AW,Any,ChargePlace Scotland,32,749.67,0,100.00%
Feb-23,APT50821,50821,"Ayrshire Roads Alliance, ChargePlace Scotland, East Ayrshire Council",East Ayrshire,KA1 1LU,Any,ChargePlace Scotland,71,201.48,1,100.00%
Feb-23,APT50822,50822,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 7DN,Any,ChargePlace Scotland,156,1778.52,0,100.00%
Feb-23,APT50823,50823,"ChargePlace Scotland, Livingston Designer Outlet",West Lothian,EH54 6QX,Any,ChargePlace Scotland,304,3447.85,2,100.00%
Feb-23,50826,50826,"ChargePlace Scotland, University of St Andrews",Fife,KY16 9LZ,Any,ChargePlace Scotland,72,1721.21,1,100.00%
Feb-23,50838,50838,"ChargePlace Scotland, Perth & Kinross Council",Perth and Kinross,PH1 5UP,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,APT50844,50844,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 7BL,Any,ChargePlace Scotland,75,1340.58,1,100.00%
Feb-23,APT50845,50845,"ChargePlace Scotland, West Lothian Council",West Lothian,EH54 7BL,Any,ChargePlace Scotland,45,732.14,0,100.00%
Feb-23,APT50846,50846,Loch Fyne Oysters Ltd,Argyll and Bute,PA26 8BL,Any,ChargePlace Scotland,59,415.21,2,100.00%
Feb-23,1705510375-B94060091,50847,"ChargePlace Scotland, Loch Insh Outdoor Centre",Highland,PH21 1NU,Any,ChargePlace Scotland,7,170.47,0,100.00%
Feb-23,1705510388-B94060091,50848,Loch Insh Outdoor Centre,Highland,PH21 1NU,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,50851,50851,"ChargePlace Scotland, In-site Property Solutions, In-Site Property Solutions 7kW Tariff",North Lanarkshire,ML1 2NT,Any,ChargePlace Scotland,23,404.59,2,100.00%
Feb-23,1712507991/B94060093,50859,"ChargePlace Scotland, Crerar Hotel Group",Aberdeenshire,AB51 5NT,Any,ChargePlace Scotland,46,826.54,1,100.00%
Feb-23,1711524472/B94060093,50860,"ChargePlace Scotland, Crerar Hotel Group",Highland,IV12 4HD,Any,ChargePlace Scotland,0,0,0,100.00%
Feb-23,1712507993/B94060093,50861,"ChargePlace Scotland, Crerar Hotel Group",Argyll and Bute,PA34 5AE,Any,ChargePlace Scotland,5,120.36,0,100.00%
Feb-23,1711512050-B94060093,50862,"ChargePlace Scotland, Crerar Hotel Group",Argyll and Bute,PA65 6BB,Any,ChargePlace Scotland,14,285.35,1,100.00%
Feb-23,1712508007-B94060093,50863,"ChargePlace Scotland, Crerar Hotel Group",Argyll and Bute,PA32 8XT,Any,ChargePlace Scotland,0,0,1,100.00%
Feb-23,1611501102/B94060093,50864,"ChargePlace Scotland, Crerar Hotel Group",Argyll and Bute,PA32 8XT,Any,ChargePlace Scotland,17,312.74,5,100.00%
Feb-23,1611511018/B94060093,50868,"ChargePlace Scotland, The Powfoot Hotel",Dumfries and Galloway,DG12 5RN,Any,ChargePlace Scotland,9,223.11,1,100.00%
Feb-23,EFA50890,50871,"ChargePlace Scotland, Orkney Council Fast 11KW Tariff, Orkney Islands Council",Orkney Islands,KW18 3AG,Any,ChargePlace Scotland,11,176.22,0,100.00%
Feb-23,3288,50872,"Ceteris (Scotland) Ltd, ChargePlace Scotland, BP - ChargePlace Scotland",Aberdeenshire,FK10 3LP,Any,ChargePlace Scotland,40,169.54,0,100.00%
Feb-23,APT50873,50873,"ChargePlace Scotland, Galedin Veterinary",Scottish Borders,TD1 2UH,Any,ChargePlace Scotland,33,469.91,0,100.00%
Feb-23,EFA50884,50884,Hillcrest Housing Association,Dundee City,DD2 1EG,Any,ChargePlace Scotland,15,276.56,0,100.00%
Feb-23,EFA50888,50888,"ChargePlace Scotland, Orkney Council Fast 11KW Tariff, Orkney Islands Council",Orkney Islands,KW16 3AW,Any,ChargePlace Scotland,39,709.69,0,100.00%
Feb-23,APT50891,50891,"ChargePlace Scotland, Comhairle Nan Eilean Siar, Comhairle Nan Eilean Siar 22kW Tariff",Na h-Eileanan an Iar,HS2 9PN,Any,ChargePlace Scotland,0,0,0,100.00%
