"tablescraper-selected-row","tablescraper-selected-row href"
"May Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2023/07/monthy_cp_report-MAY.xlsx"
"May Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/Sessions-PUBLIC.xlsx"
"May Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2023/07/Tickets_May-2023.csv"
"April 2023",""
"Charge Point Performance Summary","https://chargeplacescotland.org/april-charge-point-performance-summary/"
"April Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2023/07/Full-Charge-Point-List_April-2023.xlsx"
"April Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/April-Sessions-PUBLIC.xlsx"
"April Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2023/07/All-Tickets-APR-23.xlsx"
"March 2023",""
"Charge Point Performance Summary","https://chargeplacescotland.org/march-charge-point-performance-summary/"
"March Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2023/07/monthy_cp_report-MARCH-23.csv"
"March Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/March-Public-Sessions.xlsx"
"March Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2023/07/All-Tickets-March-2023.csv"
"February 2023",""
"Charge Point Performance Summary","https://chargeplacescotland.org/february-charge-point-performance-summary/"
"February Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2023/07/Feb-CP-report.csv"
"February Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/Public-Sessions-FEB-2023.xlsx"
"February Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2023/07/Ticket-BreakdownFEB-2023.xlsx"
"January 2023",""
"Charge Point Performance Summary","https://chargeplacescotland.org/january-charge-point-performance-summary/"
"January Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2023/07/monthy_cp_report-JAN-23.csv"
"January Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/JAN-23-Public-Sessions.xlsx"
"January Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2023/07/Ticket-Breakdown_-JAN-23.xlsx"
"December 2022",""
"Charge Point Performance","https://chargeplacescotland.org/december-charge-point-performance-summary/"
"December Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2023/07/monthy_cp_report-DEC-22-1-1.csv"
"December Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/11/Sessions-CSV-vlookup-DEC-22-1.xlsx"
"December Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2023/07/December-Tickets-1-1.csv"
"November 2022",""
"Charge Point Performance Summary","https://chargeplacescotland.org/november-charge-point-performance-summary/"
"November Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2023/07/November-22-CP-Report.csv"
"November Session Download","https://chargeplacescotland.org/wp-content/uploads/2023/07/November-Sessions.xlsx"
"November Ticket Breakdown","https://chargeplacescotland.org/wp-content/uploads/2023/07/All-tickets-November-22.csv"
"October 2022",""
"Charge Point Performance Summary","https://chargeplacescotland.org/october-charge-point-performance-summary/"
"October Charge Point Report","https://chargeplacescotland.org/wp-content/uploads/2023/07/October-22-CP-Report.xlsx"
"October Sessions Download","https://chargeplacescotland.org/wp-content/uploads/2023/12/October-Sessions.xlsx"
"October Ticket Breakdown",""
